k,auc,continent
3,0.9996592365080376,AFR
8,0.9998273464974057,AFR
13,0.9998455205503103,AFR
18,0.999972738920643,AFR
23,0.9999636518941907,AFR
28,0.999972738920643,AFR
33,0.9999363908148337,AFR
38,0.9999818259470953,AFR
43,0.999972738920643,AFR
48,0.9999636518941907,AFR
53,0.9999636518941907,AFR
58,0.9999818259470954,AFR
63,0.999972738920643,AFR
68,0.9999636518941907,AFR
73,0.999972738920643,AFR
78,0.9999636518941907,AFR
83,0.9999818259470953,AFR
88,0.999972738920643,AFR
93,0.9999636518941907,AFR
98,0.9999818259470953,AFR
103,0.9999636518941907,AFR
108,0.9999636518941907,AFR
113,0.999972738920643,AFR
118,0.9999636518941907,AFR
123,0.9999636518941907,AFR
128,0.9999909129735476,AFR
133,0.9999818259470954,AFR
138,0.9999636518941907,AFR
143,0.9999636518941907,AFR
148,0.9999545648677384,AFR
153,0.999972738920643,AFR
158,0.9999818259470953,AFR
163,0.9999909129735476,AFR
168,0.999972738920643,AFR
173,0.9999636518941907,AFR
178,0.999972738920643,AFR
183,0.9999909129735476,AFR
188,0.999972738920643,AFR
193,0.9999818259470953,AFR
198,0.9999818259470953,AFR
