k,auc,continent
3,0.9996592365080376,AFR
8,0.9998273464974057,AFR
13,0.9998455205503103,AFR
18,0.999972738920643,AFR
23,0.9999636518941907,AFR
28,0.999972738920643,AFR
33,0.9999363908148337,AFR
38,0.9999818259470953,AFR
43,0.999972738920643,AFR
48,0.9999636518941907,AFR
53,0.9999636518941907,AFR
58,0.9999818259470954,AFR
63,0.999972738920643,AFR
68,0.9999636518941907,AFR
73,0.999972738920643,AFR
78,0.9999636518941907,AFR
83,0.9999818259470953,AFR
88,0.999972738920643,AFR
93,0.9999636518941907,AFR
98,0.9999818259470953,AFR
103,0.9999636518941907,AFR
108,0.9999636518941907,AFR
113,0.999972738920643,AFR
118,0.9999636518941907,AFR
123,0.9999636518941907,AFR
128,0.9999909129735476,AFR
133,0.9999818259470954,AFR
138,0.9999636518941907,AFR
143,0.9999636518941907,AFR
148,0.9999545648677384,AFR
153,0.999972738920643,AFR
158,0.9999818259470953,AFR
163,0.9999909129735476,AFR
168,0.999972738920643,AFR
173,0.9999636518941907,AFR
178,0.999972738920643,AFR
183,0.9999909129735476,AFR
188,0.999972738920643,AFR
193,0.9999818259470953,AFR
198,0.9999818259470953,AFR
3,0.8561550332383665,AMR
8,0.9263488247863249,AMR
13,0.9625919990503323,AMR
18,0.9738099477682811,AMR
23,0.9797453703703705,AMR
28,0.9840485517568851,AMR
33,0.9852949905033238,AMR
38,0.9880104463437798,AMR
43,0.9903104226020892,AMR
48,0.9941684472934473,AMR
53,0.9944207027540362,AMR
58,0.995281339031339,AMR
63,0.996542616334283,AMR
68,0.9953406932573599,AMR
73,0.996616809116809,AMR
78,0.9968542260208927,AMR
83,0.9965871320037987,AMR
88,0.9967503561253561,AMR
93,0.997076804368471,AMR
98,0.9969432573599241,AMR
103,0.9968245489078822,AMR
108,0.9977593779677114,AMR
113,0.9969580959164293,AMR
118,0.9964684235517569,AMR
123,0.9977297008547009,AMR
128,0.9982490503323838,AMR
133,0.9965871320037987,AMR
138,0.9975813152896486,AMR
143,0.9975071225071225,AMR
148,0.9971361585944919,AMR
153,0.9973735754985755,AMR
158,0.9974626068376068,AMR
163,0.9973735754985755,AMR
168,0.99767034662868,AMR
173,0.9972993827160495,AMR
178,0.9981748575498575,AMR
183,0.9985606600189934,AMR
188,0.9982638888888888,AMR
193,0.9983529202279202,AMR
198,0.9986942070275403,AMR
3,0.9965620213551366,EAS
8,0.9998567508897973,EAS
13,1.0,EAS
18,1.0,EAS
23,1.0,EAS
28,1.0,EAS
33,1.0,EAS
38,1.0,EAS
43,1.0,EAS
48,1.0,EAS
53,1.0,EAS
58,1.0,EAS
63,1.0,EAS
68,1.0,EAS
73,1.0,EAS
78,1.0,EAS
83,1.0,EAS
88,1.0,EAS
93,1.0,EAS
98,1.0,EAS
103,1.0,EAS
108,1.0,EAS
113,1.0,EAS
118,1.0,EAS
123,1.0,EAS
128,1.0,EAS
133,1.0,EAS
138,1.0,EAS
143,1.0,EAS
148,1.0,EAS
153,1.0,EAS
158,1.0,EAS
163,1.0,EAS
168,1.0,EAS
173,1.0,EAS
178,1.0,EAS
183,1.0,EAS
188,1.0,EAS
193,1.0,EAS
198,1.0,EAS
3,0.993691529569922,EUR
8,0.9946942733413406,EUR
13,0.9962094081607916,EUR
18,0.9981047040803959,EUR
23,0.9982589723529218,EUR
28,0.9985895472226202,EUR
33,0.9985124130863572,EUR
38,0.99862260470959,EUR
43,0.9983361064891847,EUR
48,0.998269991515245,EUR
53,0.9990303137155514,EUR
58,0.9989862370662582,EUR
63,0.9987989113067625,EUR
68,0.9987989113067625,EUR
73,0.9989311412546418,EUR
78,0.9990303137155514,EUR
83,0.9989862370662582,EUR
88,0.9989531795792884,EUR
93,0.9988760454430254,EUR
98,0.99929477361131,EUR
103,0.9990633712025212,EUR
108,0.9987989113067625,EUR
113,0.9991184670141376,EUR
118,0.9991184670141376,EUR
123,0.999173562825754,EUR
128,0.999096428689491,EUR
133,0.9993168119359567,EUR
138,0.9993388502606032,EUR
143,0.9991184670141376,EUR
148,0.9993278310982799,EUR
153,0.9994710802084825,EUR
158,0.999449041883836,EUR
163,0.9994710802084825,EUR
168,0.9993388502606032,EUR
173,0.9990303137155514,EUR
178,0.9994600610461593,EUR
183,0.9994049652345429,EUR
188,0.9994820993708058,EUR
193,0.999603310156362,EUR
198,0.999526176020099,EUR
3,0.9469162871760275,SAS
8,0.9794737729802665,SAS
13,0.9928936864001798,SAS
18,0.998988024962051,SAS
23,0.9996739191544387,SAS
28,0.9999212908303817,SAS
33,0.9999662674987351,SAS
38,0.9999775116658234,SAS
43,0.9999775116658234,SAS
48,0.9999775116658234,SAS
53,0.9999662674987351,SAS
58,0.9999775116658234,SAS
63,1.0,SAS
68,1.0,SAS
73,1.0,SAS
78,1.0,SAS
83,1.0,SAS
88,1.0,SAS
93,1.0,SAS
98,1.0,SAS
103,1.0,SAS
108,1.0,SAS
113,1.0,SAS
118,1.0,SAS
123,1.0,SAS
128,1.0,SAS
133,1.0,SAS
138,1.0,SAS
143,1.0,SAS
148,1.0,SAS
153,1.0,SAS
158,1.0,SAS
163,1.0,SAS
168,1.0,SAS
173,1.0,SAS
178,1.0,SAS
183,1.0,SAS
188,1.0,SAS
193,1.0,SAS
198,1.0,SAS
