k,auc,continent
3,0.9965620213551366,EAS
8,0.9998567508897973,EAS
13,1.0,EAS
18,1.0,EAS
23,1.0,EAS
28,1.0,EAS
33,1.0,EAS
38,1.0,EAS
43,1.0,EAS
48,1.0,EAS
53,1.0,EAS
58,1.0,EAS
63,1.0,EAS
68,1.0,EAS
73,1.0,EAS
78,1.0,EAS
83,1.0,EAS
88,1.0,EAS
93,1.0,EAS
98,1.0,EAS
103,1.0,EAS
108,1.0,EAS
113,1.0,EAS
118,1.0,EAS
123,1.0,EAS
128,1.0,EAS
133,1.0,EAS
138,1.0,EAS
143,1.0,EAS
148,1.0,EAS
153,1.0,EAS
158,1.0,EAS
163,1.0,EAS
168,1.0,EAS
173,1.0,EAS
178,1.0,EAS
183,1.0,EAS
188,1.0,EAS
193,1.0,EAS
198,1.0,EAS
