k,auc,continent
3,0.993691529569922,EUR
8,0.9946942733413406,EUR
13,0.9962094081607916,EUR
18,0.9981047040803959,EUR
23,0.9982589723529218,EUR
28,0.9985895472226202,EUR
33,0.9985124130863572,EUR
38,0.99862260470959,EUR
43,0.9983361064891847,EUR
48,0.998269991515245,EUR
53,0.9990303137155514,EUR
58,0.9989862370662582,EUR
63,0.9987989113067625,EUR
68,0.9987989113067625,EUR
73,0.9989311412546418,EUR
78,0.9990303137155514,EUR
83,0.9989862370662582,EUR
88,0.9989531795792884,EUR
93,0.9988760454430254,EUR
98,0.99929477361131,EUR
103,0.9990633712025212,EUR
108,0.9987989113067625,EUR
113,0.9991184670141376,EUR
118,0.9991184670141376,EUR
123,0.999173562825754,EUR
128,0.999096428689491,EUR
133,0.9993168119359567,EUR
138,0.9993388502606032,EUR
143,0.9991184670141376,EUR
148,0.9993278310982799,EUR
153,0.9994710802084825,EUR
158,0.999449041883836,EUR
163,0.9994710802084825,EUR
168,0.9993388502606032,EUR
173,0.9990303137155514,EUR
178,0.9994600610461593,EUR
183,0.9994049652345429,EUR
188,0.9994820993708058,EUR
193,0.999603310156362,EUR
198,0.999526176020099,EUR
