k,auc,continent
3,0.9469162871760275,SAS
8,0.9794737729802665,SAS
13,0.9928936864001798,SAS
18,0.998988024962051,SAS
23,0.9996739191544387,SAS
28,0.9999212908303817,SAS
33,0.9999662674987351,SAS
38,0.9999775116658234,SAS
43,0.9999775116658234,SAS
48,0.9999775116658234,SAS
53,0.9999662674987351,SAS
58,0.9999775116658234,SAS
63,1.0,SAS
68,1.0,SAS
73,1.0,SAS
78,1.0,SAS
83,1.0,SAS
88,1.0,SAS
93,1.0,SAS
98,1.0,SAS
103,1.0,SAS
108,1.0,SAS
113,1.0,SAS
118,1.0,SAS
123,1.0,SAS
128,1.0,SAS
133,1.0,SAS
138,1.0,SAS
143,1.0,SAS
148,1.0,SAS
153,1.0,SAS
158,1.0,SAS
163,1.0,SAS
168,1.0,SAS
173,1.0,SAS
178,1.0,SAS
183,1.0,SAS
188,1.0,SAS
193,1.0,SAS
198,1.0,SAS
