k,auc,group
3,0.7570893525949705,Han
8,0.7910647405029426,Han
13,0.8715890850722311,Han
18,0.895844480114143,Han
23,0.9083288746210094,Han
28,0.8915641162832174,Han
33,0.8994114499732477,Han
38,0.915641162832174,Han
43,0.9209916176208311,Han
48,0.9202782236490101,Han
53,0.9274121633672195,Han
58,0.936864633493847,Han
63,0.9439985732120564,Han
68,0.942215088282504,Han
73,0.9470304975922953,Han
78,0.9495273764936687,Han
83,0.9504191189584448,Han
88,0.9486356340288924,Han
93,0.9516675584091314,Han
98,0.9520242553950419,Han
103,0.9611200285357588,Han
108,0.9655787408596397,Han
113,0.9662921348314606,Han
118,0.9634385589441768,Han
123,0.965757089352595,Han
128,0.9652220438737293,Han
133,0.9696807561976102,Han
138,0.9707508471553414,Han
143,0.9668271803103264,Han
148,0.9666488318173712,Han
153,0.970394150169431,Han
158,0.968075619761013,Han
163,0.9750312109862671,Han
168,0.9714642411271625,Han
173,0.964330301408953,Han
178,0.9716425896201176,Han
183,0.9654003923666845,Han
188,0.9712858926342072,Han
193,0.9753879079721777,Han
198,0.9728910290708044,Han
3,0.9282857904558784,JPT
8,0.9594774726739536,JPT
13,0.9744068248467075,JPT
18,0.9866702212743268,JPT
23,0.9914689416155692,JPT
28,0.9952012796587577,JPT
33,0.9968008531058384,JPT
38,0.996534257531325,JPT
43,0.9973340442548654,JPT
48,0.999466808850973,JPT
53,1.0,JPT
58,0.999466808850973,JPT
63,0.9994668088509732,JPT
68,0.9997334044254865,JPT
73,1.0,JPT
78,0.9997334044254865,JPT
83,0.999466808850973,JPT
88,1.0,JPT
93,1.0,JPT
98,1.0,JPT
103,1.0,JPT
108,1.0,JPT
113,1.0,JPT
118,1.0,JPT
123,1.0,JPT
128,1.0,JPT
133,1.0,JPT
138,1.0,JPT
143,1.0,JPT
148,1.0,JPT
153,1.0,JPT
158,1.0,JPT
163,1.0,JPT
168,1.0,JPT
173,1.0,JPT
178,1.0,JPT
183,1.0,JPT
188,1.0,JPT
193,1.0,JPT
198,1.0,JPT
3,0.9091159207630227,SEA
8,0.9719369038884813,SEA
13,0.9596478356566398,SEA
18,0.9682685253118122,SEA
23,0.9684519442406456,SEA
28,0.9732208363903155,SEA
33,0.9787234042553191,SEA
38,0.9866104181951578,SEA
43,0.9878943506969919,SEA
48,0.9893617021276595,SEA
53,0.9913793103448276,SEA
58,0.9904622157006603,SEA
63,0.9922964049889949,SEA
68,0.9924798239178283,SEA
73,0.9926632428466617,SEA
78,0.993947175348496,SEA
83,0.9935803374908291,SEA
88,0.9933969185619956,SEA
93,0.9932134996331621,SEA
98,0.9924798239178283,SEA
103,0.9930300807043287,SEA
108,0.9941305942773294,SEA
113,0.9930300807043286,SEA
118,0.9930300807043286,SEA
123,0.9946808510638298,SEA
128,0.9937637564196625,SEA
133,0.9946808510638299,SEA
138,0.9937637564196625,SEA
143,0.9941305942773294,SEA
148,0.9933969185619956,SEA
153,0.9921129860601614,SEA
158,0.9941305942773295,SEA
163,0.993580337490829,SEA
168,0.9944974321349964,SEA
173,0.9954145267791636,SEA
178,0.9922964049889949,SEA
183,0.993580337490829,SEA
188,0.9911958914159941,SEA
193,0.9954145267791636,SEA
198,0.993947175348496,SEA
