k,auc,group
3,0.9282857904558784,JPT
8,0.9594774726739536,JPT
13,0.9744068248467075,JPT
18,0.9866702212743268,JPT
23,0.9914689416155692,JPT
28,0.9952012796587577,JPT
33,0.9968008531058384,JPT
38,0.996534257531325,JPT
43,0.9973340442548654,JPT
48,0.999466808850973,JPT
53,1.0,JPT
58,0.999466808850973,JPT
63,0.9994668088509732,JPT
68,0.9997334044254865,JPT
73,1.0,JPT
78,0.9997334044254865,JPT
83,0.999466808850973,JPT
88,1.0,JPT
93,1.0,JPT
98,1.0,JPT
103,1.0,JPT
108,1.0,JPT
113,1.0,JPT
118,1.0,JPT
123,1.0,JPT
128,1.0,JPT
133,1.0,JPT
138,1.0,JPT
143,1.0,JPT
148,1.0,JPT
153,1.0,JPT
158,1.0,JPT
163,1.0,JPT
168,1.0,JPT
173,1.0,JPT
178,1.0,JPT
183,1.0,JPT
188,1.0,JPT
193,1.0,JPT
198,1.0,JPT
