k,auc,group
3,0.9091159207630227,SEA
8,0.9719369038884813,SEA
13,0.9596478356566398,SEA
18,0.9682685253118122,SEA
23,0.9684519442406456,SEA
28,0.9732208363903155,SEA
33,0.9787234042553191,SEA
38,0.9866104181951578,SEA
43,0.9878943506969919,SEA
48,0.9893617021276595,SEA
53,0.9913793103448276,SEA
58,0.9904622157006603,SEA
63,0.9922964049889949,SEA
68,0.9924798239178283,SEA
73,0.9926632428466617,SEA
78,0.993947175348496,SEA
83,0.9935803374908291,SEA
88,0.9933969185619956,SEA
93,0.9932134996331621,SEA
98,0.9924798239178283,SEA
103,0.9930300807043287,SEA
108,0.9941305942773294,SEA
113,0.9930300807043286,SEA
118,0.9930300807043286,SEA
123,0.9946808510638298,SEA
128,0.9937637564196625,SEA
133,0.9946808510638299,SEA
138,0.9937637564196625,SEA
143,0.9941305942773294,SEA
148,0.9933969185619956,SEA
153,0.9921129860601614,SEA
158,0.9941305942773295,SEA
163,0.993580337490829,SEA
168,0.9944974321349964,SEA
173,0.9954145267791636,SEA
178,0.9922964049889949,SEA
183,0.993580337490829,SEA
188,0.9911958914159941,SEA
193,0.9954145267791636,SEA
198,0.993947175348496,SEA
